Time (s),Compressor Speed (rpm),Condensor Air Mass Flow (kg/s),Evaporator Air Mass Flow (kg/s),Superheat (°C),Discharge Temperature (°C),Subcooling (°C),Condenser_Pressure (kPa),Evaporator_Pressure (kPa),Compressor_MassFlow (kg/s),EXV_MassFlow (kg/s),Compressor_Power (kW),Total Power (kW),Air Side Cooling Capacity (kW),Ref Side Cooling Capacity (kW)
3.15,3300,2.236,0.6909,1.261089809,51.17788919,1.885846516,2557.800769,1014.060596,0.057990992,0.056542064,2.557733325,2.839212725,10.71253629,9.141910924
3.2,3300,2.236,0.6909,1.368609644,51.1801729,1.844457766,2557.987788,1014.178239,0.05799797,0.056525251,2.557892354,2.839371754,10.67546573,9.147021787
3.25,3300,2.236,0.6909,1.478570102,51.18195888,1.806784836,2558.174694,1014.366117,0.058009114,0.056509005,2.557977214,2.839456614,10.63930872,9.149376632
3.3,3300,2.236,0.6909,1.58892135,51.18351271,1.772613313,2558.364072,1014.556586,0.058020412,0.056494376,2.558089613,2.839569013,10.60393957,9.148998388
3.35,3300,2.236,0.6909,1.697552783,51.18559076,1.741887099,2558.554078,1014.66348,0.058026752,0.05648269,2.558291003,2.839770403,10.56934392,9.146566078
3.4,3300,2.236,0.6909,1.802627687,51.18744934,1.714075302,2558.741484,1014.730341,0.058030719,0.056472937,2.558360536,2.839839936,10.53554345,9.141585882
3.45,3300,2.236,0.6909,1.905517848,51.18951368,1.688963132,2558.929008,1014.935281,0.058042876,0.056462194,2.558794008,2.840273408,10.50267778,9.152053862
3.5,3300,2.236,0.6909,2.010975359,51.19233788,1.666214953,2559.109741,1015.060764,0.058050319,0.056453675,2.558891174,2.840370574,10.47049726,9.163245095
3.55,3300,2.236,0.6909,2.101469004,51.19631355,1.645528052,2559.277815,1014.718507,0.058030017,0.056453385,2.559426006,2.840905406,10.4386254,9.133373845
3.6,3300,2.236,0.6909,2.188496214,51.19895798,1.626757747,2559.434873,1014.754138,0.05803213,0.056447623,2.559614844,2.841094244,10.4078013,9.143511424
3.65,3300,2.236,0.6909,2.279598702,51.20100957,1.609881517,2559.589014,1014.842677,0.058037382,0.05644181,2.559746473,2.841225873,10.37777514,9.150657951
3.7,3300,2.236,0.6909,2.372995272,51.20260353,1.594807411,2559.74321,1014.979013,0.05804547,0.056436053,2.559829445,2.841308845,10.34853791,9.156484467
3.75,3300,2.236,0.6909,2.467766412,51.20383586,1.58144433,2559.899692,1015.148572,0.058055528,0.056430593,2.55988229,2.84136169,10.32006642,9.161553509
3.8,3300,2.236,0.6909,2.563337551,51.2048045,1.569689341,2560.059467,1015.34111,0.05806695,0.056425573,2.559916638,2.841396038,10.29234012,9.166064747
3.85,3300,2.236,0.6909,2.659255349,51.20558971,1.559443605,2560.223214,1015.549487,0.058079312,0.056421077,2.559940549,2.841419949,10.26534018,9.170186866
3.9,3300,2.236,0.6909,2.755171658,51.20623421,1.550583651,2560.389044,1015.768347,0.058092297,0.05641709,2.559957357,2.841436757,10.23904878,9.174017199
3.95,3300,2.236,0.6909,2.850831627,51.20682429,1.543072773,2560.560725,1015.99416,0.058105694,0.056413739,2.55997557,2.84145497,10.2134489,9.17765817
4,3300,2.236,0.6909,2.946016361,51.20737814,1.536805226,2560.737055,1016.224247,0.058119345,0.056410992,2.559995991,2.841475391,10.18852419,9.181155656
4.05,3300,2.236,0.6909,3.040545723,51.20791852,1.531670285,2560.91615,1016.456791,0.058133143,0.056408783,2.560018307,2.841497707,10.16425872,9.184540879
4.1,3300,2.236,0.6909,3.134272224,51.2084858,1.527625718,2561.100367,1016.690413,0.058147005,0.05640717,2.560046955,2.841526355,10.14063713,9.18784752
4.15,3300,2.236,0.6909,3.227071905,51.20906567,1.524563413,2561.287394,1016.924171,0.058160875,0.056406068,2.560079331,2.841558731,10.11764438,9.19108445
4.2,3300,2.236,0.6909,3.318841459,51.20969286,1.522415595,2561.477321,1017.157244,0.058174705,0.056405458,2.560116954,2.841596354,10.0952657,9.194267455
4.25,3300,2.236,0.6909,3.409494288,51.21037492,1.521136817,2561.671464,1017.389192,0.05818847,0.056405358,2.560161832,2.841641232,10.07348675,9.19741113
4.3,3300,2.236,0.6909,3.49895753,51.21106719,1.520596182,2561.865205,1017.619515,0.058202138,0.056405615,2.560207553,2.841686953,10.05229333,9.200498456
4.35,3300,2.236,0.6909,3.58716869,51.21183605,1.520799601,2562.06278,1017.847834,0.058215687,0.056406328,2.560261209,2.841740609,10.03167154,9.203555642
4.4,3300,2.236,0.6909,3.674075294,51.21266655,1.521684107,2562.263621,1018.074068,0.058229114,0.056407459,2.560321755,2.841801155,10.0116079,9.206581475
4.45,3300,2.236,0.6909,3.759632989,51.21355985,1.523192278,2562.467308,1018.298112,0.05824241,0.056408974,2.560388703,2.841868103,9.992089122,9.209575009
